name,area_frac,n_components,second_ratio,touches_border,flags
1001.jpg,0.104,1,0.0,False,
1096.jpg,0.3713,1,0.0,False,
1191.jpg,0.4619,1,0.0,False,
1286.jpg,0.2307,1,0.0,False,solidity
1381.jpg,0.2437,1,0.0,False,
1476.jpg,0.1939,1,0.0,False,
1571.jpg,0.1758,1,0.0,False,
2050.jpg,0.464,1,0.0,False,
2145.jpg,0.4482,1,0.0,False,
2240.jpg,0.3942,1,0.0,False,
2335.jpg,0.4444,1,0.0,False,
2430.jpg,0.4565,1,0.0,False,
2525.jpg,0.5915,1,0.0,False,
2623.jpg,0.1416,1,0.0,False,
3043.jpg,0.4893,1,0.0,False,
3138.jpg,0.2416,1,0.0,False,
3233.jpg,0.3228,1,0.0,False,
3328.jpg,0.2228,1,0.0,False,solidity
3423.jpg,0.4197,1,0.0,False,
3518.jpg,0.4,1,0.0,False,
3615.jpg,0.4468,1,0.0,False,
